player,total_runs_innings_1,total_wickets_innings_1,matches_played_innings_1,total_runs_innings_2,total_wickets_innings_2,matches_played_innings_2
Shubman Gill,594.0,,11.0,491.0,,13.0
Shuvagata Hom,3.0,0.0,2.0,67.0,,2.0
Sikandar Raza,552.0,16.0,37.0,607.0,11.0,40.0
Sohag Gazi,84.0,9.0,11.0,69.0,8.0,11.0
Sohaib Maqsood,187.0,0.0,8.0,227.0,0.0,8.0
Sohail Khan,10.0,6.0,6.0,5.0,3.0,6.0
Sohail Tanvir,116.0,32.0,36.0,147.0,18.0,32.0
Soumya Sarkar,331.0,4.0,19.0,562.0,2.0,22.0
Subashis Roy,,1.0,1.0,1.0,,1.0
Suhrawadi Shuvo,53.0,5.0,8.0,11.0,1.0,5.0
Sunzamul Islam,19.0,1.0,2.0,,2.0,1.0
Syed Rasel,17.0,18.0,16.0,25.0,8.0,13.0
T Banton,18.0,,1.0,,,
T Bavuma,361.0,0.0,10.0,583.0,,10.0
T Duffin,67.0,,3.0,90.0,,2.0
T Kaitano,75.0,,3.0,32.0,,4.0
T Kamungozi,3.0,11.0,9.0,12.0,0.0,6.0
T Maruma,38.0,2.0,9.0,26.0,2.0,5.0
T Marumani,53.0,,2.0,26.0,,3.0
T Munyonga,7.0,0.0,2.0,58.0,,3.0
T Mupariwa,24.0,15.0,19.0,28.0,8.0,17.0
T Muzarabani,6.0,6.0,4.0,1.0,0.0,4.0
T Natarajan,,,,,2.0,1.0
T Panyangara,35.0,24.0,27.0,82.0,14.0,25.0
T Sangha,,,,,1.0,1.0
T Shamsi,14.0,30.0,18.0,14.0,12.0,19.0
T Stubbs,,,,6.0,,1.0
T Taibu,1052.0,,34.0,792.0,,38.0
T Thushara,146.0,20.0,21.0,85.0,14.0,16.0
T de Zorzi,28.0,,1.0,248.0,,4.0
TA Blundell,105.0,,3.0,115.0,,4.0
TA Boult,82.0,77.0,50.0,42.0,59.0,45.0
TAM Siriwardana,252.0,2.0,15.0,70.0,4.0,14.0
TCB Fernando,17.0,0.0,3.0,1.0,0.0,5.0
TD Astle,54.0,1.0,4.0,10.0,0.0,2.0
TD Paine,327.0,,11.0,147.0,,8.0
TG Southee,306.0,76.0,75.0,157.0,63.0,70.0
TH David,1.0,1.0,2.0,1.0,,1.0
TJ Bishop,0.0,,1.0,,,
TJ Friend,4.0,0.0,3.0,124.0,1.0,6.0
TK Canning,13.0,,1.0,,2.0,1.0
TK Curran,98.0,16.0,12.0,31.0,8.0,9.0
TK Musakanda,108.0,,3.0,68.0,,3.0
TL Best,55.0,11.0,11.0,5.0,13.0,13.0
TL Chatara,19.0,28.0,30.0,59.0,21.0,28.0
TL Chivanga,4.0,2.0,2.0,,1.0,1.0
TL Seifert,22.0,,1.0,,,
TM Dilshan,3544.0,24.0,153.0,2406.0,45.0,135.0
TM Dowlin,154.0,,5.0,74.0,,5.0
TM Head,995.0,7.0,31.0,695.0,5.0,31.0
TMK Mawoyo,14.0,,1.0,24.0,,2.0
TR Ambrose,7.0,,2.0,2.0,,2.0
TR Gripper,,2.0,1.0,6.0,,1.0
TS Chisoro,12.0,2.0,4.0,6.0,2.0,4.0
TS Kamunhukamwe,,,,37.0,,2.0
TS Nethula,0.0,,1.0,,4.0,3.0
TS Roland-Jones,37.0,,1.0,,1.0,1.0
TT Bresnan,238.0,26.0,37.0,147.0,33.0,37.0
TT Samaraweera,135.0,0.0,12.0,273.0,,8.0
TV Mufambisi,21.0,,1.0,5.0,,1.0
TWM Latham,1101.0,,36.0,1092.0,,35.0
Taijul Islam,24.0,10.0,7.0,1.0,7.0,7.0
Tamim Iqbal,1907.0,,56.0,2092.0,,62.0
Tanbir Hayder,3.0,0.0,2.0,2.0,0.0,2.0
Tanzid Hasan,121.0,,7.0,110.0,,4.0
Tanzim Hasan Sakib,32.0,3.0,3.0,5.0,4.0,3.0
Tapash Baisya,22.0,9.0,9.0,48.0,7.0,11.0
Tareq Aziz,2.0,,1.0,,2.0,1.0
Taskin Ahmed,87.0,33.0,30.0,66.0,19.0,30.0
Taufeeq Umar,40.0,,3.0,24.0,,2.0
Tilak Varma,62.0,0.0,3.0,6.0,0.0,3.0
Towhid Hridoy,298.0,,8.0,162.0,0.0,6.0
Tushar Imran,111.0,,7.0,9.0,,4.0
UDU Chandana,118.0,17.0,20.0,67.0,13.0,16.0
UT Khawaja,648.0,,16.0,339.0,,10.0
UT Yadav,7.0,54.0,31.0,46.0,21.0,29.0
UWMBCA Welegedara,2.0,10.0,5.0,,4.0,2.0
Umar Akmal,1001.0,,36.0,1001.0,,34.0
Umar Amin,64.0,,4.0,61.0,0.0,6.0
Umar Gul,172.0,64.0,70.0,150.0,56.0,58.0
Umran Malik,,4.0,3.0,,4.0,2.0
Usama Mir,,6.0,5.0,32.0,6.0,4.0
Usman Qadir,,,,,1.0,1.0
Usman Salahuddin,8.0,,1.0,,,
Usman Shinwari,,9.0,5.0,6.0,10.0,5.0
V Kohli,3438.0,1.0,87.0,5356.0,2.0,106.0
V Permaul,19.0,3.0,5.0,0.0,2.0,5.0
V Sehwag,2235.0,18.0,82.0,1472.0,22.0,71.0
V Shankar,91.0,0.0,4.0,48.0,2.0,4.0
V Sibanda,693.0,1.0,40.0,927.0,1.0,36.0
VB van Jaarsveld,5.0,,1.0,4.0,,1.0
VC Drakes,2.0,2.0,5.0,5.0,3.0,5.0
VD Philander,37.0,16.0,11.0,20.0,9.0,12.0
VM Nyauchi,10.0,3.0,5.0,26.0,1.0,5.0
VR Aaron,,3.0,3.0,0.0,2.0,3.0
VR Iyer,22.0,,1.0,2.0,0.0,2.0
VS Solanki,181.0,0.0,8.0,187.0,1.0,11.0
VVS Laxman,294.0,,9.0,111.0,,8.0
W Jaffer,,,,0.0,,1.0
W Madhevere,112.0,2.0,11.0,67.0,1.0,11.0
W Mwayenga,1.0,1.0,2.0,0.0,0.0,2.0
W Sutherland,18.0,0.0,2.0,,2.0,1.0
WA Agar,41.0,,1.0,,0.0,1.0
WA Young,218.0,,5.0,322.0,,9.0
WB Rankin,,5.0,3.0,5.0,1.0,3.0
WCA Ganegama,7.0,,1.0,,0.0,1.0
WD Parnell,168.0,40.0,33.0,203.0,40.0,36.0
WG Jacks,104.0,1.0,9.0,111.0,0.0,6.0
WIA Fernando,569.0,,14.0,151.0,,6.0
WP Masakadza,39.0,4.0,9.0,3.0,3.0,8.0
WP Saha,4.0,,1.0,,,
WPUJC Vaas,265.0,32.0,57.0,109.0,37.0,48.0
WS Jayantha,23.0,1.0,4.0,109.0,,5.0
WU Tharanga,2350.0,,65.0,1794.0,,55.0
WW Hinds,123.0,8.0,13.0,379.0,0.0,17.0
Wahab Riaz,208.0,59.0,46.0,280.0,39.0,46.0
Waqar Younis,,2.0,1.0,2.0,,1.0
Washington Sundar,131.0,9.0,10.0,74.0,7.0,10.0
Wasim Akram,,1.0,1.0,7.0,,1.0
XC Bartlett,,5.0,1.0,,,
XJ Doherty,24.0,19.0,21.0,26.0,19.0,21.0
XM Marshall,75.0,,5.0,33.0,0.0,7.0
Y Cariah,15.0,4.0,7.0,19.0,5.0,6.0
Y Venugopal Rao,25.0,,4.0,65.0,,2.0
YK Pathan,241.0,3.0,28.0,20.0,10.0,20.0
YS Chahal,30.0,61.0,37.0,33.0,26.0,20.0
Yasir Ali Chowdhury,52.0,,2.0,25.0,,1.0
Yasir Arafat,24.0,1.0,5.0,30.0,0.0,5.0
Yasir Hameed,573.0,,16.0,430.0,,12.0
Yasir Shah,2.0,7.0,12.0,59.0,14.0,14.0
Younis Khan,1760.0,0.0,56.0,1400.0,0.0,66.0
Yousuf Youhana,453.0,,18.0,542.0,0.0,16.0
Yuvraj Singh,2237.0,16.0,101.0,1868.0,33.0,95.0
Z Crawley,48.0,,2.0,3.0,,1.0
Z Khan,212.0,62.0,58.0,167.0,60.0,59.0
Zafar Gohar,15.0,,1.0,,2.0,1.0
Zahid Mahmood,,3.0,2.0,0.0,,1.0
Zakir Hasan,1.0,,1.0,,,
Ziaur Rahman,35.0,,3.0,22.0,3.0,4.0
Zulfiqar Babar,1.0,1.0,2.0,12.0,0.0,2.0
Zulqarnain Haider,12.0,,1.0,36.0,,3.0
