player,total_runs_innings_1,total_wickets_innings_1,matches_played_innings_1,total_runs_innings_2,total_wickets_innings_2,matches_played_innings_2
HP Tillakaratne,102.0,,5.0,30.0,,2.0
HR Walsh,23.0,1.0,5.0,2.0,2.0,5.0
HWR Cartwright,,,,1.0,,1.0
Habibul Bashar,196.0,,14.0,177.0,,12.0
Haider Ali,,,,29.0,,1.0
Hammad Azam,4.0,1.0,3.0,40.0,0.0,3.0
Hannan Sarkar,94.0,,5.0,87.0,,3.0
Harbhajan Singh,234.0,55.0,72.0,319.0,66.0,70.0
Haris Rauf,0.0,30.0,16.0,10.0,6.0,9.0
Haris Sohail,751.0,2.0,22.0,308.0,4.0,16.0
Hasan Ali,151.0,48.0,34.0,130.0,23.0,30.0
Hasan Mahmud,1.0,5.0,5.0,10.0,4.0,7.0
Hasibul Hossain,6.0,0.0,2.0,1.0,0.0,2.0
Hussain Talat,2.0,,1.0,,0.0,1.0
I Kaia,37.0,0.0,4.0,23.0,0.0,4.0
I Sharma,11.0,60.0,34.0,33.0,20.0,29.0
I Udana,54.0,6.0,13.0,22.0,7.0,11.0
ID Blackwell,7.0,3.0,10.0,36.0,3.0,7.0
IDR Bradshaw,34.0,27.0,24.0,113.0,14.0,17.0
IE O'Brien,,8.0,3.0,,,
IG Butler,6.0,11.0,7.0,28.0,0.0,4.0
IJ Harvey,90.0,8.0,12.0,32.0,13.0,10.0
IJL Trott,841.0,0.0,15.0,615.0,2.0,19.0
IK Pathan,427.0,62.0,60.0,348.0,60.0,52.0
IR Bell,1526.0,,39.0,1196.0,3.0,46.0
IS Sodhi,109.0,15.0,21.0,17.0,29.0,21.0
Iftikhar Ahmed,96.0,8.0,11.0,165.0,0.0,11.0
Iftikhar Anjum,44.0,29.0,30.0,61.0,17.0,23.0
Ihsanullah,,0.0,1.0,,,
Imad Wasim,491.0,16.0,36.0,144.0,13.0,27.0
Imam-ul-Haq,886.0,,18.0,1052.0,,23.0
Imran Farhat,295.0,,12.0,494.0,1.0,18.0
Imran Nazir,194.0,,11.0,105.0,,6.0
Imran Tahir,15.0,55.0,42.0,101.0,54.0,43.0
Imrul Kayes,599.0,,24.0,364.0,,18.0
Inzamam-ul-Haq,745.0,,20.0,571.0,,18.0
Ishan Kishan,370.0,,4.0,176.0,,8.0
J Blackwood,,,,12.0,,1.0
J Botha,177.0,30.0,42.0,152.0,17.0,36.0
J Charles,372.0,,13.0,353.0,,10.0
J Fraser-McGurk,23.0,,2.0,41.0,,1.0
J Gumbie,26.0,,1.0,,,
J Lewis,8.0,8.0,8.0,7.0,6.0,4.0
J Liyanage,121.0,0.0,4.0,33.0,,2.0
J Mubarak,273.0,,15.0,101.0,1.0,9.0
J Nyumbu,3.0,9.0,9.0,26.0,0.0,7.0
J Overton,32.0,,1.0,,1.0,1.0
J Srinath,11.0,6.0,8.0,5.0,12.0,9.0
J Theron,5.0,5.0,2.0,,4.0,2.0
J Yadav,1.0,,1.0,,1.0,1.0
JA Burns,24.0,,2.0,9.0,,2.0
JA Morkel,253.0,16.0,31.0,243.0,12.0,24.0
JA Richardson,52.0,8.0,8.0,16.0,15.0,10.0
JA Rudolph,313.0,,8.0,238.0,,6.0
JA Simpson,17.0,,1.0,,,
JA Turner,,2.0,1.0,,,
JAH Marshall,9.0,,2.0,18.0,,2.0
JC Archer,43.0,10.0,10.0,5.0,10.0,10.0
JC Buttler,2274.0,,61.0,1240.0,,42.0
JC Tredwell,28.0,26.0,24.0,63.0,18.0,23.0
JD Campbell,53.0,,2.0,15.0,0.0,2.0
JD Ryder,336.0,5.0,15.0,272.0,0.0,11.0
JD Unadkat,,3.0,3.0,,6.0,2.0
JDF Vandersay,23.0,15.0,14.0,51.0,16.0,12.0
JDP Oram,642.0,53.0,54.0,211.0,28.0,42.0
JDS Neesham,593.0,22.0,43.0,383.0,24.0,39.0
JE Root,2566.0,4.0,81.0,1683.0,9.0,69.0
JE Taylor,50.0,48.0,34.0,96.0,19.0,28.0
JEC Franklin,339.0,12.0,39.0,172.0,22.0,35.0
JG Bethell,47.0,2.0,5.0,80.0,1.0,4.0
JH Kallis,1506.0,30.0,70.0,1259.0,24.0,64.0
JJ Bumrah,16.0,82.0,46.0,23.0,32.0,31.0
JJ Krejza,7.0,0.0,2.0,,3.0,2.0
JJ Roy,1494.0,,40.0,897.0,,25.0
JJ van der Wath,9.0,11.0,9.0,72.0,5.0,7.0
JJC Lawson,3.0,2.0,3.0,8.0,2.0,2.0
JL Carter,107.0,0.0,8.0,195.0,0.0,8.0
JL Denly,160.0,0.0,7.0,100.0,0.0,5.0
JL Ontong,,1.0,1.0,40.0,,2.0
JL Pattinson,8.0,7.0,5.0,14.0,1.0,6.0
JL Smith,62.0,,2.0,49.0,,1.0
JM Anderson,65.0,93.0,71.0,96.0,61.0,65.0
JM Bairstow,1300.0,,29.0,927.0,,24.0
JM Cox,1.0,,1.0,4.0,,1.0
JM How,268.0,,10.0,284.0,,11.0
JM Kemp,451.0,3.0,18.0,211.0,0.0,21.0
JM Mennie,,3.0,1.0,0.0,,1.0
JM Vince,115.0,,5.0,160.0,,7.0
JN Gillespie,95.0,23.0,20.0,6.0,19.0,16.0
JN Hamilton,,,,5.0,,1.0
JN Malan,124.0,,5.0,338.0,,6.0
JN Mohammed,79.0,6.0,9.0,202.0,0.0,13.0
JN Rhodes,,,,2.0,,1.0
JNT Seales,21.0,0.0,5.0,1.0,3.0,7.0
JO Holder,429.0,41.0,57.0,651.0,30.0,61.0
JO Troughton,11.0,,2.0,20.0,,2.0
JP Behrendorff,2.0,,3.0,,10.0,5.0
JP Duminy,1568.0,11.0,94.0,1357.0,25.0,88.0
JP Faulkner,310.0,39.0,39.0,483.0,25.0,34.0
JP Greaves,,,,8.0,,1.0
JP Inglis,154.0,,7.0,107.0,,6.0
JP Maher,19.0,,1.0,30.0,,1.0
JR Hazlewood,41.0,30.0,31.0,6.0,44.0,30.0
JR Hopes,555.0,15.0,44.0,333.0,31.0,40.0
JR Philippe,16.0,,1.0,,,
JS Paris,,0.0,1.0,,,
JS Patel,28.0,16.0,20.0,47.0,19.0,19.0
JT Ball,7.0,3.0,7.0,29.0,16.0,9.0
JT Smuts,,2.0,2.0,65.0,,3.0
JW Dernbach,6.0,10.0,8.0,4.0,6.0,8.0
JW Hastings,56.0,21.0,14.0,86.0,10.0,14.0
JW Wilson,1.0,,1.0,,1.0,1.0
JWA Taylor,315.0,,10.0,416.0,,10.0
JWM Dalrymple,230.0,4.0,17.0,94.0,3.0,14.0
Jahurul Islam,0.0,,1.0,60.0,,3.0
Jai Prakash Yadav,3.0,4.0,5.0,9.0,0.0,4.0
Javed Omar,97.0,,4.0,162.0,,8.0
Joginder Sharma,,,,,0.0,1.0
Jubair Hossain,,2.0,1.0,,2.0,1.0
Junaid Khan,5.0,39.0,28.0,23.0,26.0,31.0
Junaid Siddique,86.0,,5.0,406.0,,16.0
Junaid Zia,,0.0,1.0,,,
K Pierre,,0.0,1.0,21.0,0.0,2.0
K Rabada,92.0,59.0,43.0,96.0,30.0,38.0
K Sinclair,,1.0,1.0,,0.0,1.0
K Verreynne,57.0,,2.0,144.0,,4.0
K Weeraratne,23.0,,1.0,,0.0,1.0
K Zondo,79.0,,2.0,42.0,,2.0
KA Edwards,200.0,,7.0,67.0,,3.0
KA Hope,35.0,,1.0,23.0,,2.0
KA Jamieson,45.0,2.0,5.0,15.0,5.0,4.0
KA Maharaj,37.0,17.0,18.0,78.0,13.0,15.0
